method,seed,train_size,test_size,input_dim,hidden_dim,epochs,test_acc,train_time_sec,final_train_loss,final_train_acc,mean_feedback_alignment
bp,0,5000,2000,196,128,12,0.921,0.5875822640955448,0.30380159616470337,0.918,
dfa_3factor,0,5000,2000,196,128,12,0.915,0.6509168371558189,0.30317991971969604,0.9136,0.4892657841914881
output_only,0,5000,2000,196,128,12,0.84,0.35843391343951225,0.7256067395210266,0.8252,
zo_spsa,0,5000,2000,196,32,8,0.1645,0.18954063765704632,2.231417417526245,0.1764,
stdp,0,5000,2000,196,128,1,0.3025,9.581034610047936,,0.3014,
bp,1,5000,2000,196,128,12,0.9075,0.6439811736345291,0.28325510025024414,0.9208,
dfa_3factor,1,5000,2000,196,128,12,0.902,0.6340507324784994,0.2857078015804291,0.9176,0.452696672879292
output_only,1,5000,2000,196,128,12,0.81,0.30905567295849323,0.8165282011032104,0.807,
zo_spsa,1,5000,2000,196,32,8,0.179,0.16622936725616455,2.2521114349365234,0.184,
stdp,1,5000,2000,196,128,1,0.3105,10.343012847006321,,0.3024,
bp,2,5000,2000,196,128,12,0.91,0.6079481802880764,0.317470908164978,0.9164,
dfa_3factor,2,5000,2000,196,128,12,0.8955,0.6102678552269936,0.34865710139274597,0.897,0.45281592647247243
output_only,2,5000,2000,196,128,12,0.8235,0.31287929229438305,0.7590930461883545,0.822,
zo_spsa,2,5000,2000,196,32,8,0.163,0.16904147900640965,2.2229340076446533,0.1678,
stdp,2,5000,2000,196,128,1,0.2465,8.963731797412038,,0.2526,
