method,seed,epoch,train_loss,train_acc,test_acc,feedback_alignment
bp,0,1,1.6529948711395264,0.617,0.635,
bp,0,2,1.1717002391815186,0.758,0.769,
bp,0,3,0.9012085199356079,0.8115,0.819,
bp,0,4,0.7484182119369507,0.8295,0.85,
bp,0,5,0.6498891711235046,0.8435,0.839,
bp,0,6,0.584863543510437,0.857,0.861,
bp,0,7,0.5379418730735779,0.868,0.869,
bp,0,8,0.49039480090141296,0.873,0.883,
dfa_3factor,0,1,1.9165160655975342,0.379,0.346,-0.030196745740806063
dfa_3factor,0,2,1.2411539554595947,0.654,0.673,0.06409623842493753
dfa_3factor,0,3,0.8855487108230591,0.7515,0.744,0.16893906991444044
dfa_3factor,0,4,0.808688759803772,0.7185,0.737,0.2538975885830017
dfa_3factor,0,5,0.6213374733924866,0.82,0.82,0.3176573069647807
dfa_3factor,0,6,0.5895929336547852,0.8175,0.83,0.36046300756340394
dfa_3factor,0,7,0.49985960125923157,0.8645,0.87,0.40019592213700406
dfa_3factor,0,8,0.47850584983825684,0.86,0.869,0.42860147610989763
zo_spsa,0,1,2.473784923553467,0.082,0.072,
zo_spsa,0,2,2.46354341506958,0.083,0.076,
zo_spsa,0,3,2.4345571994781494,0.0865,0.087,
zo_spsa,0,4,2.4167463779449463,0.088,0.088,
zo_spsa,0,5,2.4048101902008057,0.093,0.091,
stdp,0,1,,0.2175,0.226,
bp,1,1,1.5981181859970093,0.6495,0.607,
bp,1,2,1.136147141456604,0.741,0.721,
bp,1,3,0.8561558127403259,0.8215,0.803,
bp,1,4,0.7143486142158508,0.8315,0.824,
bp,1,5,0.6200479865074158,0.8495,0.835,
bp,1,6,0.559834897518158,0.86,0.858,
bp,1,7,0.5039459466934204,0.884,0.876,
bp,1,8,0.471145361661911,0.879,0.876,
dfa_3factor,1,1,1.9702202081680298,0.3765,0.347,0.04479182986023202
dfa_3factor,1,2,1.2680888175964355,0.6925,0.683,0.13388697104798125
dfa_3factor,1,3,0.9192318916320801,0.723,0.706,0.22766716344970173
dfa_3factor,1,4,0.7520810961723328,0.779,0.765,0.2926426917347309
dfa_3factor,1,5,0.6052489280700684,0.8535,0.844,0.3421389485342919
dfa_3factor,1,6,0.5539806485176086,0.846,0.852,0.38127382984354985
dfa_3factor,1,7,0.5129171013832092,0.864,0.86,0.41059955473687226
dfa_3factor,1,8,0.47388848662376404,0.8735,0.859,0.43425650266152166
zo_spsa,1,1,2.3688769340515137,0.115,0.102,
zo_spsa,1,2,2.3583881855010986,0.1215,0.107,
zo_spsa,1,3,2.3439459800720215,0.122,0.113,
zo_spsa,1,4,2.3350930213928223,0.1265,0.115,
zo_spsa,1,5,2.327929973602295,0.1285,0.121,
stdp,1,1,,0.332,0.336,
bp,2,1,1.7450144290924072,0.5985,0.559,
bp,2,2,1.2474733591079712,0.735,0.71,
bp,2,3,0.9351029992103577,0.8085,0.793,
bp,2,4,0.7619379758834839,0.837,0.814,
bp,2,5,0.6521457433700562,0.8565,0.845,
bp,2,6,0.5837759971618652,0.864,0.844,
bp,2,7,0.5374680161476135,0.866,0.852,
bp,2,8,0.5052185654640198,0.875,0.85,
dfa_3factor,2,1,1.9811052083969116,0.363,0.34,0.051815225194678446
dfa_3factor,2,2,1.344302773475647,0.559,0.533,0.13423481678031224
dfa_3factor,2,3,0.9323851466178894,0.7755,0.762,0.22034541121218382
dfa_3factor,2,4,0.7663090825080872,0.7765,0.737,0.2975769017815494
dfa_3factor,2,5,0.6583410501480103,0.8125,0.819,0.34770176725657387
dfa_3factor,2,6,0.596994161605835,0.835,0.836,0.38977640606417613
dfa_3factor,2,7,0.5128786563873291,0.8635,0.861,0.418296901034196
dfa_3factor,2,8,0.5128896832466125,0.856,0.826,0.4417972229338237
zo_spsa,2,1,2.331173896789551,0.105,0.119,
zo_spsa,2,2,2.329770565032959,0.1065,0.117,
zo_spsa,2,3,2.3184516429901123,0.109,0.117,
zo_spsa,2,4,2.3128013610839844,0.114,0.111,
zo_spsa,2,5,2.3078091144561768,0.113,0.116,
stdp,2,1,,0.2815,0.248,
