method,seed,epoch,overall_acc,target_acc,loss
reservoir,0,1,0.9285714285714286,0.0,0.32638653551473484
reservoir,0,2,0.9285714285714286,0.0,0.31170326475479276
reservoir,0,3,0.9285714285714286,0.0,0.3057073419054344
reservoir,0,4,0.9285714285714286,0.0,0.29860779143983973
reservoir,0,5,0.9285714285714286,0.0,0.29483166989982645
reservoir,0,6,0.9285714285714286,0.0,0.29091471167127064
reservoir,0,7,0.9285714285714286,0.0,0.28834411149302114
reservoir,0,8,0.9285714285714286,0.0,0.2861953410650086
reservoir,0,9,0.9285714285714286,0.0,0.28377721833300223
reservoir,0,10,0.9285714285714286,0.0,0.2811693929960407
reservoir,0,11,0.9285714285714286,0.0,0.27728253669698105
reservoir,0,12,0.9285714285714286,0.0,0.2767439265474653
eprop_3factor,0,1,0.9286607142857143,0.23,0.4550812946700844
eprop_3factor,0,2,0.9672321428571429,0.77,0.13679290414966755
eprop_3factor,0,3,0.9801785714285715,1.0,0.08821755642025736
eprop_3factor,0,4,0.9647321428571428,0.77,0.06837031865089241
eprop_3factor,0,5,0.96375,0.7225,0.0619851096528988
eprop_3factor,0,6,1.0,1.0,0.008039134157795417
eprop_3factor,0,7,1.0,1.0,0.004713290167371269
eprop_3factor,0,8,1.0,1.0,0.0024333135451160416
eprop_3factor,0,9,1.0,1.0,0.0016886923386363012
eprop_3factor,0,10,1.0,1.0,0.003236203576056824
eprop_3factor,0,11,1.0,1.0,0.001894109029761939
eprop_3factor,0,12,1.0,1.0,0.0013906329009951539
eprop_resampled,0,1,0.8571428571428571,0.0,0.5443258753064654
eprop_resampled,0,2,0.8958035714285715,0.0,0.5129602304553589
eprop_resampled,0,3,0.8571428571428571,0.0,0.5376151433438168
eprop_resampled,0,4,0.8571428571428571,0.0,0.5173501796062538
eprop_resampled,0,5,0.8958035714285715,0.0,0.4248139035607469
eprop_resampled,0,6,0.8958035714285715,0.0,0.4982023758172589
eprop_resampled,0,7,0.8958035714285715,0.0,0.4609706997956341
eprop_resampled,0,8,0.8571428571428571,0.0,0.5087027797835433
eprop_resampled,0,9,0.8571428571428571,0.0,0.4984073788119315
eprop_resampled,0,10,0.8571428571428571,0.0,0.5051993774291276
eprop_resampled,0,11,0.8899107142857143,0.0,0.4856044227887937
eprop_resampled,0,12,0.8899107142857143,0.0,0.4650266340345771
bptt_rnn,0,1,0.9285714285714286,0.0,0.2266038202382562
bptt_rnn,0,2,0.9483928571428571,0.2775,0.16037381279477136
bptt_rnn,0,3,0.9835714285714285,0.77,0.1020074348287516
bptt_rnn,0,4,0.9439285714285715,0.4925,0.19471276488440098
bptt_rnn,0,5,0.9801785714285715,0.7225,0.05811437827697146
bptt_rnn,0,6,1.0,1.0,0.03947299012690937
bptt_rnn,0,7,0.9836607142857143,1.0,0.040684985816859046
bptt_rnn,0,8,1.0,1.0,0.015433246399676453
bptt_rnn,0,9,1.0,1.0,0.007276134652991494
bptt_rnn,0,10,1.0,1.0,0.004744684712198686
bptt_rnn,0,11,1.0,1.0,0.0028459262226738606
bptt_rnn,0,12,1.0,1.0,0.0019370731803620147
reservoir,1,1,0.9285714285714286,0.0,0.3233188533576704
reservoir,1,2,0.9285714285714286,0.0,0.3092789513422463
reservoir,1,3,0.9285714285714286,0.0,0.30329919978811704
reservoir,1,4,0.9285714285714286,0.0,0.29732040224565737
reservoir,1,5,0.9285714285714286,0.0,0.29351541360996625
reservoir,1,6,0.9285714285714286,0.0,0.2912045371924881
reservoir,1,7,0.9285714285714286,0.0,0.28692775032400186
reservoir,1,8,0.9285714285714286,0.0,0.28426169990261213
reservoir,1,9,0.9285714285714286,0.0,0.28171725581612017
reservoir,1,10,0.9285714285714286,0.0,0.27947232248806303
reservoir,1,11,0.9285714285714286,0.0,0.2772853456027913
reservoir,1,12,0.9285714285714286,0.0,0.2768014268080329
eprop_3factor,1,1,0.9285714285714286,0.0,0.20239371618579208
eprop_3factor,1,2,0.9483928571428571,0.5175,0.1160527077691414
eprop_3factor,1,3,0.9848214285714286,1.0,0.06354993815758957
eprop_3factor,1,4,0.9807142857142858,1.0,0.048951529917255286
eprop_3factor,1,5,1.0,1.0,0.02421305955428315
eprop_3factor,1,6,1.0,1.0,0.012297136856467671
eprop_3factor,1,7,0.9807142857142858,0.73,0.03087228176870763
eprop_3factor,1,8,1.0,1.0,0.007701632548772495
eprop_3factor,1,9,1.0,1.0,0.006351227259233276
eprop_3factor,1,10,1.0,1.0,0.0053341798337918555
eprop_3factor,1,11,1.0,1.0,0.004368731773713583
eprop_3factor,1,12,1.0,1.0,0.004128739499202293
eprop_resampled,1,1,0.8723214285714286,0.0,0.5062579419596241
eprop_resampled,1,2,0.9285714285714286,0.0,0.4135672727720836
eprop_resampled,1,3,0.9285714285714286,0.0,0.4008116655881596
eprop_resampled,1,4,0.8935714285714286,0.0,0.4933402445587366
eprop_resampled,1,5,0.8764285714285714,0.0,0.49671396727367095
eprop_resampled,1,6,0.9285714285714286,0.0,0.3660201656806426
eprop_resampled,1,7,0.9133928571428571,0.0,0.4036152862688041
eprop_resampled,1,8,0.9133928571428571,0.0,0.4001698798904567
eprop_resampled,1,9,0.9133928571428571,0.0,0.388106594265804
eprop_resampled,1,10,0.9133928571428571,0.0,0.3898222485083972
eprop_resampled,1,11,0.9285714285714286,0.0,0.3641762749564171
eprop_resampled,1,12,0.9133928571428571,0.0,0.39360320946196975
bptt_rnn,1,1,0.9285714285714286,0.0,0.3016228850450533
bptt_rnn,1,2,0.9285714285714286,0.0,0.23471311775906617
bptt_rnn,1,3,0.9478571428571428,0.27,0.19295331169284363
bptt_rnn,1,4,0.94375,0.2125,0.15908798374733163
bptt_rnn,1,5,0.94375,0.2125,0.13965461250112396
bptt_rnn,1,6,0.9457142857142857,0.24,0.11970087239005714
bptt_rnn,1,7,0.94375,0.2125,0.1202998966365869
bptt_rnn,1,8,0.9676785714285714,0.5475,0.10001091878081057
bptt_rnn,1,9,0.9133928571428571,0.2775,0.15579310314696881
bptt_rnn,1,10,0.9630357142857143,0.4825,0.089510409684714
bptt_rnn,1,11,0.9676785714285714,0.5475,0.09269015375383362
bptt_rnn,1,12,0.9676785714285714,0.5475,0.060863846745045073
reservoir,2,1,0.9285714285714286,0.0,0.34102613750750393
reservoir,2,2,0.9285714285714286,0.0,0.30801296967172365
reservoir,2,3,0.9285714285714286,0.0,0.28804034182223504
reservoir,2,4,0.9285714285714286,0.0,0.2776361482948924
reservoir,2,5,0.9285714285714286,0.0,0.26687568105223036
reservoir,2,6,0.9285714285714286,0.0,0.2609594508280015
reservoir,2,7,0.9285714285714286,0.0,0.25441771161954707
reservoir,2,8,0.9285714285714286,0.0,0.2502311078494103
reservoir,2,9,0.9285714285714286,0.0,0.24275133301010646
reservoir,2,10,0.9285714285714286,0.0,0.2399318430425711
reservoir,2,11,0.9285714285714286,0.0,0.23537696905861163
reservoir,2,12,0.9285714285714286,0.0,0.2317298928331857
eprop_3factor,2,1,0.9291071428571429,0.47625,0.18147008081563215
eprop_3factor,2,2,0.9458928571428571,0.2425,0.1383950124124281
eprop_3factor,2,3,0.9491964285714286,1.0,0.09712359975887722
eprop_3factor,2,4,0.979375,0.71125,0.03564275753241287
eprop_3factor,2,5,1.0,1.0,0.03158275623367512
eprop_3factor,2,6,0.979375,1.0,0.03396978179176368
eprop_3factor,2,7,0.9833035714285714,0.76625,0.06296992331295277
eprop_3factor,2,8,0.979375,0.71125,0.0540477302957498
eprop_3factor,2,9,1.0,1.0,0.003434357150737182
eprop_3factor,2,10,1.0,1.0,0.002034122169798092
eprop_3factor,2,11,1.0,1.0,0.0014365428072638559
eprop_3factor,2,12,1.0,1.0,0.0011064078198779663
eprop_resampled,2,1,0.8571428571428571,0.0,0.5994042826231222
eprop_resampled,2,2,0.8571428571428571,0.0,0.563400606381906
eprop_resampled,2,3,0.8571428571428571,0.0,0.5898124901008851
eprop_resampled,2,4,0.8571428571428571,0.0,0.5791101700348898
eprop_resampled,2,5,0.8777678571428571,0.0,0.5286177302507199
eprop_resampled,2,6,0.8571428571428571,0.0,0.532290063636668
eprop_resampled,2,7,0.8571428571428571,0.0,0.6066464963977086
eprop_resampled,2,8,0.8571428571428571,0.0,0.594847312126704
eprop_resampled,2,9,0.8571428571428571,0.0,0.5865738069026851
eprop_resampled,2,10,0.8571428571428571,0.0,0.5904302835347206
eprop_resampled,2,11,0.8571428571428571,0.0,0.5915703019661546
eprop_resampled,2,12,0.8571428571428571,0.0,0.5827407480091237
bptt_rnn,2,1,0.9285714285714286,0.0,0.23122129847578818
bptt_rnn,2,2,0.9285714285714286,0.0,0.18612721115643224
bptt_rnn,2,3,0.9452678571428571,0.23375,0.16117620536530203
bptt_rnn,2,4,0.9453571428571429,0.235,0.14204936301413357
bptt_rnn,2,5,0.9453571428571429,0.235,0.11920239747343435
bptt_rnn,2,6,0.9491964285714286,0.28875,0.10669478321375282
bptt_rnn,2,7,0.9491964285714286,0.28875,0.09025729907050173
bptt_rnn,2,8,0.9658928571428571,0.5225,0.07787276136730713
bptt_rnn,2,9,0.9285714285714286,0.0,0.09909283913648001
bptt_rnn,2,10,1.0,1.0,0.06106000660959568
bptt_rnn,2,11,0.9833035714285714,0.76625,0.06024442590728225
bptt_rnn,2,12,0.9453571428571429,0.235,0.1383686287704318
