method,seed,epoch,overall_acc,target_acc,loss
reservoir,0,1,0.8889285714285714,0.2225,0.2700784386966193
reservoir,0,2,0.9614285714285714,0.73,0.19789047051740027
reservoir,0,3,1.0,1.0,0.15688716976654218
reservoir,0,4,1.0,1.0,0.13112977956304678
reservoir,0,5,1.0,1.0,0.11326769734807231
reservoir,0,6,1.0,1.0,0.10177243825568659
eprop_3factor,0,1,1.0,1.0,0.022585467503796187
eprop_3factor,0,2,1.0,1.0,0.008878244119886797
eprop_3factor,0,3,1.0,1.0,0.00521447904439957
eprop_3factor,0,4,1.0,1.0,0.003620870954662005
eprop_3factor,0,5,1.0,1.0,0.002755002740383494
eprop_3factor,0,6,1.0,1.0,0.0022018641792772736
eprop_resampled,0,1,0.8571428571428571,0.0,0.5166154974849196
eprop_resampled,0,2,0.8571428571428571,0.0,0.5759152665870166
eprop_resampled,0,3,0.8571428571428571,0.0,0.5516952521180241
eprop_resampled,0,4,0.8571428571428571,0.0,0.5092371616834879
eprop_resampled,0,5,0.8571428571428571,0.0,0.5429055554920543
eprop_resampled,0,6,0.8571428571428571,0.0,0.7503603219728799
bptt_rnn,0,1,0.9653571428571428,0.7575,0.1045799663703422
bptt_rnn,0,2,1.0,1.0,0.008280796809343344
bptt_rnn,0,3,1.0,1.0,0.0030420824685437843
bptt_rnn,0,4,1.0,1.0,0.001783726471139334
bptt_rnn,0,5,1.0,1.0,0.0012364620863130607
bptt_rnn,0,6,1.0,1.0,0.0009397568864057072
